family,scenario,field,segment,n_traj,n_time,dt,grid,static_share,dynamic_share,boxcar_low_share,boxcar_mid_share,boxcar_high_share,boxcar_share_bin1,boxcar_share_le_2,boxcar_share_le_4,boxcar_share_le_8,boxcar_modes_50,boxcar_modes_90,boxcar_modes_99,boxcar_effective_modes,boxcar_centroid_rel,boxcar_ar1_phi,boxcar_excess_share,boxcar_peak_bin,boxcar_peak_over_null,boxcar_peak_rel_nyquist,boxcar_low_share_sd,boxcar_excess_share_sd,hann_low_share,hann_mid_share,hann_high_share,hann_share_bin1,hann_share_le_2,hann_share_le_4,hann_share_le_8,hann_modes_50,hann_modes_90,hann_modes_99,hann_effective_modes,hann_centroid_rel,hann_ar1_phi,hann_excess_share,hann_peak_bin,hann_peak_over_null,hann_peak_rel_nyquist,hann_low_share_sd,hann_excess_share_sd,spatial_box_low_share,spatial_box_mid_share,spatial_box_high_share,spatial_box_share_bin1,spatial_box_share_le_2,spatial_box_share_le_4,spatial_box_share_le_8,spatial_box_modes_50,spatial_box_modes_90,spatial_box_modes_99,spatial_box_effective_modes,spatial_box_centroid_rel,spatial_radial_low_share,spatial_radial_mid_share,spatial_radial_high_share,spatial_radial_share_bin1,spatial_radial_share_le_2,spatial_radial_share_le_4,spatial_radial_share_le_8,spatial_radial_modes_50,spatial_radial_modes_90,spatial_radial_modes_99,spatial_radial_effective_modes,spatial_radial_centroid_rel,spatial_var_at_modes_4,spatial_var_at_modes_8,spatial_var_at_modes_12,spatial_var_at_modes_16
Gray-Scott reaction-diffusion,bubbles,A,full,3,1001,10.0,128x128,0.9226722713963472,0.07732772860365293,0.9415732384293856,0.04034059453804696,0.01808616703256753,0.3476595097892971,0.49182930241912354,0.6584376609402416,0.8122713535395439,3,19,348,6.1235682444142485,0.03211250996003832,0.9567657366535628,0.33013093879798366,1,3.744764629231085,0.002,0.01840713002886834,0.023633065392850594,0.9999995277929862,4.72201991689704e-07,5.022284115396083e-12,0.875786429846077,0.9784772259651009,0.994973625700532,0.999056314398272,1,2,3,1.285803828439791,0.0023405182783292756,0.999,0.27307869717854066,1,1.4530864337345004,0.002,2.0743771854848765e-07,0.0175319632365661,0.43109929218446785,0.5667352183340061,0.002165489481526021,0.017640770542606425,0.06702605905302303,0.21960871469995868,0.6104943778607737,7,14,23,14.143728273312476,0.1268682730513595,0.6303003659547511,0.36904366431256347,0.0006559697326854325,0.017640770542606425,0.06702605905302303,0.19230241898514808,0.5516050314905172,8,16,24,15.510333500317717,0.0975038890967617,0.21960871469995868,0.6104943778607735,0.837421086835891,0.9433699060768471
Gray-Scott reaction-diffusion,bubbles,A,train,3,60,10.0,128x128,0.9201444333417452,0.07985556665825486,0.5622535904587165,0.26492276414856064,0.17282364539272296,0.4072289870758681,0.5078300284597237,0.6003442219731077,0.7052120570196762,2,21,29,5.337401124239185,0.230056130083108,0.6019784867269563,0.28591629714556754,1,2.949634066777478,0.03333333333333333,0.03157075859948864,0.023674080938515037,0.9991442515148508,0.0008542360273501692,1.512457799179979e-06,0.9130981000301284,0.9948931714831765,0.9997355898685044,0.9999704124013149,1,1,2,1.1898288418945218,0.03644887803930625,0.9934101770044123,0.305271731278131,1,1.5022350904336739,0.03333333333333333,3.0016427408739645e-05,0.0017131008443269761,0.6198837771685213,0.37880329352374387,0.001312929307734845,0.03449653506089618,0.12827265735471427,0.35352851545082953,0.7896016058266583,5,11,22,10.649928546431157,0.09917377614457161,0.8074943952957396,0.19226966713028873,0.0002359375739717428,0.03449653506089618,0.12827265735471427,0.31603469935369266,0.7455633175511235,6,12,24,11.459029659949994,0.07512551308608482,0.3535285154508295,0.7896016058266584,0.9262923868475732,0.9681460740381755
Gray-Scott reaction-diffusion,bubbles,A,settled,3,501,10.0,128x128,0.9965350308848531,0.003464969115146862,0.9786017702536066,0.01795774521965535,0.003440484526738132,0.6369028439681651,0.7844694644683614,0.8776838427443117,0.9353246618694141,1,5,53,2.3086165234725398,0.015048566378891546,0.9891690853038451,0.14598140370592064,1,1.2973620456013066,0.004,0.0192600011268381,0.03139792886286315,0.9999999723987415,2.7587955372614956e-08,1.3302994692157036e-11,0.9321200748882329,0.9914793332804508,0.9995470705618514,0.9999727812416938,1,1,2,1.1462321100998387,0.004314649751806592,0.999,0.32550201224543024,1,1.5365847677323399,0.004,1.0428286357727477e-07,0.013831476012956426,0.40374804752788623,0.5939503324433457,0.002301620028768111,0.01477391422931582,0.057290247298551304,0.19999180376633285,0.5826946762631876,8,15,23,14.465304276019609,0.13098223736401463,0.6021430516689017,0.3971239294322823,0.000733018898816189,0.014773914229315824,0.05729024729855131,0.17411097214844562,0.5232187056410054,8,16,24,15.947593970156348,0.10098522606577096,0.19999180376633283,0.5826946762631876,0.8239617571247468,0.9395370702365501
Gray-Scott reaction-diffusion,bubbles,B,full,3,1001,10.0,128x128,0.9149804436500781,0.08501955634992184,0.9637338020617291,0.03130594858954171,0.004960249348729125,0.36433218702796955,0.5107567165585164,0.6785664199749896,0.8355970697377592,2,13,173,5.671473045822115,0.019363470677852497,0.9826772785128585,0.1381230701401116,1,1.5930715562826665,0.002,0.00551484886093865,0.03790444959865662,0.9999993605544993,6.394412956527502e-07,4.2049130553179836e-12,0.8563610317589575,0.9740440795144676,0.9938623441407717,0.9988019588591325,1,2,4,1.3378650896312192,0.0023996515481650295,0.999,0.25365329909142115,1,1.4208562215864924,0.002,2.845028425170819e-07,0.020637874444953578,0.3563199962675131,0.6358570225161946,0.007822981216292296,0.013562677700913113,0.052391073640915276,0.1755734056587917,0.5225670926027709,8,17,29,16.462925108447127,0.14627291681358015,0.5402821929766851,0.4569510833454863,0.002766723677828852,0.013562677700913114,0.05239107364091528,0.15293170879635196,0.46499366466776965,9,18,32,18.112457962971025,0.11290539287954704,0.1755734056587917,0.522567092602771,0.7609386097408978,0.8991863451423391
Gray-Scott reaction-diffusion,bubbles,B,train,3,60,10.0,128x128,0.9268213945568263,0.07317860544317367,0.7495390097709002,0.20067876564634585,0.04978222458275403,0.5641899558393488,0.6872984471630611,0.790454111063696,0.8839278560190218,1,10,26,2.922545505327205,0.11948517304620028,0.846451203849576,0.20443951408525696,1,1.5682814817083728,0.03333333333333333,0.003549959854298441,0.017665988418388786,0.9991503522582237,0.0008477922694053035,1.8554723708853826e-06,0.901415606493474,0.9946601646871127,0.9997558395504309,0.9999747826063093,1,1,2,1.217633487115832,0.03684375491789901,0.9931338432953017,0.2936600442044263,1,1.4831877524878365,0.03333333333333333,3.692376389889189e-05,0.0010520656487655194,0.5568805922624764,0.43834563081024536,0.004773776927278349,0.02803586446490833,0.10933582402579717,0.3084049368424466,0.7265933753421258,6,14,28,12.136706573703108,0.1137883623616776,0.7441002254149865,0.25482804641887813,0.0010717281661353176,0.028035864464908328,0.10933582402579715,0.2743510363072202,0.6797869066790047,6,15,30,13.111447821880645,0.0866355046973771,0.30840493684244663,0.7265933753421256,0.8787164764578246,0.9363011703092088
Gray-Scott reaction-diffusion,bubbles,B,settled,3,501,10.0,128x128,0.9956752127420381,0.004324787257961934,0.9792094267562388,0.017447862858216638,0.0033427103855448647,0.6448141335027304,0.7899303772298107,0.8810250770144185,0.9371446986062479,1,5,52,2.260802034853092,0.014749149497599177,0.9894733312212568,0.14893862679750366,1,1.3003548769470485,0.004,0.01957296765024873,0.03395643857841065,0.9999999732867413,2.6710108263794624e-08,3.1503926264142007e-12,0.9272269673642042,0.9913628429121123,0.9995129056781806,0.9999704578004653,1,1,2,1.1575201835343587,0.004335388638159762,0.999,0.32060890472140147,1,1.5285185596430004,0.004,7.68080478259433e-08,0.016481405005456577,0.3293707415262715,0.6623501966260925,0.008279061847636257,0.011271348928450442,0.04408089291135545,0.15755722717188192,0.4933155885367251,9,17,29,16.750847640232035,0.1507298225894057,0.5104101833226605,0.4865332683078715,0.0030565483694680847,0.01127134892845044,0.04408089291135545,0.1364110434677509,0.43580668631517305,9,18,32,18.517955955175918,0.11669940773539518,0.15755722717188192,0.493315588536725,0.7443220321216154,0.8938679113170778
Gray-Scott reaction-diffusion,gliders,A,full,3,1001,10.0,128x128,0.03892765976984528,0.9610723402301548,0.9907702763383816,0.00831871223979734,0.0009110114218209568,0.1010267004218795,0.1938139479332074,0.36115476159529203,0.6482877014658639,6,18,49,15.842899347199,0.01835670555237877,0.9946431261445486,0.4878710185612966,10,5.577148405547441,0.02,0.0019009088583303835,0.014717234073513032,0.997950277776765,0.0020495703236912475,1.5189954380768492e-07,0.08085195188956841,0.16961468367120203,0.3408016319579294,0.6479582559113439,6,16,39,15.69073878676126,0.016575908863097174,0.9975444999647941,0.5802135556160875,10,7.732211374214899,0.02,7.336728327107225e-05,0.0028951480627387827,0.47784328131632847,0.5219574508731935,0.00019926781047802022,0.04823925395888764,0.10178758794233655,0.2614206124512061,0.713289723062326,7,11,17,11.55067199048256,0.10653380699849485,0.7543673947832256,0.24561454722925716,1.8057987517209766e-05,0.04823925395888764,0.10178758794233655,0.22936293027349203,0.6548353003785091,7,12,18,12.256278082807686,0.08058810770017849,0.2614206124512061,0.7132897230623261,0.9497647491279313,0.9891548502415115
Gray-Scott reaction-diffusion,gliders,A,train,3,60,10.0,128x128,0.24575841802023668,0.7542415819797634,0.8867101938080856,0.10205541121768628,0.011234394974228038,0.6000485455041089,0.8076710448884761,0.9232127481990989,0.9701316631832358,1,4,16,2.430289789527255,0.0711072028842368,0.9465887582435975,0.08463399922900032,2,1.2443828793666436,0.06666666666666667,0.006070522811749111,0.007961342922053258,0.9930143792417867,0.006984074374159124,1.5463840540100177e-06,0.7921465232440418,0.9632350141475103,0.9980817258241045,0.9999416715574828,1,2,3,1.5204924460246956,0.04182269543159866,0.9912069400343099,0.20303151093326474,1,1.3046303711186473,0.03333333333333333,0.0018998445528298825,0.007247277400188336,0.7748393025778353,0.224941938926165,0.00021875849599980993,0.10767760413354911,0.2463847898516182,0.5750376646369149,0.8868312447970531,4,9,16,8.685287885452276,0.07428560556716898,0.8976269591370869,0.1023411291837751,3.191167913797244e-05,0.1076776041335491,0.2463847898516182,0.5365409048318612,0.8664034982976829,4,10,18,9.334188876863609,0.05565005350231092,0.5750376646369149,0.8868312447970531,0.9690532425186262,0.9904438888276714
Gray-Scott reaction-diffusion,gliders,A,settled,3,501,10.0,128x128,0.07517912858719555,0.9248208714128044,0.9935371184275954,0.005785229814344841,0.000677651758059688,0.17187108457578015,0.3423201383959115,0.6427086213288279,0.889701350248409,3,9,22,8.052463827456831,0.019109373528757884,0.9952659352200479,0.42835298969372754,5,4.135866490674714,0.02,7.318892209978878e-05,0.004186178739427895,0.9979394845127738,0.002060351814532919,1.636726934437044e-07,0.15316671718183641,0.3381338684002364,0.6490770078659452,0.9010480772510197,3,8,20,7.8731070941656265,0.017777855063699062,0.997372270953546,0.46957029574845555,5,4.333005184677715,0.02,5.834080604365243e-05,0.0027594194652302935,0.4357793524586634,0.5640138200389749,0.00020682750236156628,0.027842171819832284,0.07056815198610186,0.2163596475423445,0.6897086167333977,7,11,17,11.066402161728625,0.1115482599448741,0.7337946975537707,0.2661872545787459,1.8047867483446125e-05,0.027842171819832288,0.07056815198610188,0.18691812910018057,0.6255951802253573,8,12,18,11.732973669774047,0.08444649558940397,0.2163596475423445,0.6897086167333977,0.946612280218491,0.9886801895297046
Gray-Scott reaction-diffusion,gliders,B,full,3,1001,10.0,128x128,0.03497702553870845,0.9650229744612917,0.969205906005984,0.028866376925389056,0.001927717068626973,0.07966338526017087,0.15714923599570157,0.3064335168926576,0.5614431968589683,7,27,107,20.178978785481785,0.02599362998377379,0.9879232109031595,0.38828664305450855,37,3.247549244320739,0.074,0.007689013474110061,0.05196976385042579,0.9911011396440816,0.00889750465226383,1.35570365451742e-06,0.0708879146815846,0.15680128551934958,0.31844985268831794,0.5901597583122006,7,22,49,18.432393137528695,0.020042226824645168,0.9960109285179773,0.5593118854970239,37,6.1891417153794865,0.074,0.0001559342804154843,0.0036154567499766103,0.2598284298940695,0.7376082357148575,0.002563334391072992,0.016870760112092993,0.03866661565006173,0.11643436591627104,0.48275423753408975,9,14,26,13.228260094846165,0.14394438607940657,0.522218201747859,0.47748428201642146,0.0002975162357194985,0.016870760112092993,0.03866661565006173,0.09854839760751646,0.4125289704816967,9,15,28,14.083434815120789,0.10986181578955645,0.11643436591627104,0.4827542375340898,0.8307757398793436,0.9387730542952852
