n_time,years,annual_share,diurnal_share,forced_share,forced_share_ex_trend,n_forced_cells,chance_share,enrichment,trend_share,top_internal_omega,top_internal_k,top_internal_period,top_internal_share,ic,band,window,n_lat_rows,omega_only_low_share
3024,3.0,0.05668558450441051,0.010057812371615836,0.06674339687602635,0.09743968123669139,20,5.1670107034626725e-05,1291.7216686100196,0.31502857943572793,32,2,94.5,0.05044372457601784,IC36,tropics,boxcar,17,0.9956718652545467
3024,3.0,0.0013045934076462327,0.009920291594441329,0.011224885002087561,0.013670129987621968,20,5.1670107034626725e-05,217.24137313215172,0.17887503540555416,32,2,94.5,0.10125685630513302,IC36,tropics,hann,17,0.9962085081014936
3024,3.0,0.04954223023009363,0.0005905304314576011,0.05013276066155123,0.0706987028533458,20,5.1670107034626725e-05,970.2468901013648,0.2908956085722764,2,0,1512.0,0.03248465089824033,IC36,midlat_N,boxcar,15,0.9973845735016194
3024,3.0,0.003843601281014503,0.0007229421887969018,0.004566543469811405,0.0057419667192038035,20,5.1670107034626725e-05,88.37882737016852,0.2047074298534746,-32,-2,94.5,0.05420704846505891,IC36,midlat_N,hann,15,0.9998127390778629
3024,3.0,0.0034889002958310806,0.001172101824098241,0.004661002119929322,0.004723836857530421,20,5.1670107034626725e-05,90.20693757815812,0.013301631596555449,14,1,216.0,0.072505282871996,IC36,midlat_S,boxcar,15,0.99931650034128
3024,3.0,0.001292876941626307,0.0006804001964872083,0.0019732771381135153,0.0019828766674808962,20,5.1670107034626725e-05,38.18991775633682,0.004841213538296743,14,1,216.0,0.06923211562096766,IC36,midlat_S,hann,15,0.9998522212886727
3024,3.0,0.07678288715642091,3.27136891776389e-05,0.07681560084559855,0.12755422488982332,20,5.1670107034626725e-05,1486.6545717453337,0.3977808190050227,4,0,756.0,0.030579728946412924,IC36,polar_N,boxcar,8,0.9987275966413087
3024,3.0,0.02386073300834308,4.061344835293699e-05,0.023901346456696018,0.034924761678943955,20,5.1670107034626725e-05,462.5759037169892,0.3156332267513775,2,0,1512.0,0.04012762291790368,IC36,polar_N,hann,8,0.9999854445519164
3024,3.0,0.07799896385168738,0.0005327320088935442,0.07853169586058092,0.12514573716605418,20,5.1670107034626725e-05,1519.867102422546,0.37247805926958355,14,1,216.0,0.035485576479914425,IC36,polar_S,boxcar,9,0.9968694442569921
3024,3.0,0.024418209249944003,0.0005931485047853501,0.025011357754729353,0.03534734500366737,20,5.1670107034626725e-05,484.05856287404225,0.29241198307441846,14,1,216.0,0.052476629707809114,IC36,polar_S,hann,9,0.9997105205699723
3024,3.0,0.053044787783079424,0.0011367650853310008,0.05418155286841043,0.0759027358481207,20,5.1670107034626725e-05,1048.6053925164247,0.28617127876884124,14,1,216.0,0.02769499071286294,IC36,global,boxcar,64,0.998106425403722
3024,3.0,0.01028118164390388,0.0010940487538081657,0.011375230397712046,0.013972676221497818,20,5.1670107034626725e-05,220.15109026363996,0.18589465486858145,32,2,94.5,0.040358064819702326,IC36,global,hann,64,0.999636253665086
3024,3.0,0.06436320604986069,0.02642515227482872,0.09078835832468941,0.1386206332768468,20,5.1670107034626725e-05,1757.0770322547928,0.3450588402422672,2,0,1512.0,0.0436685730903445,IC37,tropics,boxcar,17,0.995278675549796
3024,3.0,0.001728901118098964,0.03229441656728237,0.03402331768538134,0.044911840644854796,20,5.1670107034626725e-05,658.471979989912,0.24244214450206164,32,2,94.5,0.0638426666796963,IC37,tropics,hann,17,0.9980922189473994
3024,3.0,0.04255808857684188,0.0017836789212281605,0.04434176749807004,0.06231727989816187,20,5.1670107034626725e-05,858.1706143622733,0.2884514925790598,2,0,1512.0,0.03703243240421211,IC37,midlat_N,boxcar,15,0.9979598188316714
3024,3.0,0.0063357923991375,0.0018828068096436027,0.008218599208781102,0.010095101637231178,20,5.1670107034626725e-05,159.0590707171055,0.18588247012090034,13,1,232.6153846153846,0.04070730479445127,IC37,midlat_N,hann,15,0.999867736049663
3024,3.0,0.002627336439421553,0.002815931867713666,0.005443268307135219,0.005517680490675504,20,5.1670107034626725e-05,105.34656534555683,0.013486134919561953,5,1,604.8,0.051947633388557755,IC37,midlat_S,boxcar,15,0.9992699800508821
